s,a,r,sp
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,0,10
0,0,-11,1
0,0,-10,0
0,0,-10,0
0,0,0,10
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,0,10
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-11,1
0,0,-10,0
0,0,-10,0
0,0,-11,1
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,0,10
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-11,1
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-11,1
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,0,10
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,-10,0
0,0,0,10
0,0,-10,0
0,0,-10,0
